id,title,date,summary,author,link,picture_link,identifier,category,posts,scraped_date
28661,"Vladimír Kučera: Až všichni budeme lháři, to se budeme mít: všecko bude jasné",2017-01-10T12:38:19+01:00,"„Politika, která záměrně mate veřejné mínění, která vypočítavě staví na lidské mravní nejistotě, na nízkých pohnutkách, náladách a hnutích, není než velmi hanebnou, ne-li přímo zločinnou spekulací.“",Vladimír Kučera,http://blog.aktualne.cz/blogy/vladimir-kucera.php?itemid=28661,http://img.aktualne.centrum.cz/626/71/6267131-blog-vladimir-kucera.jpg,http://blog.aktualne.cz/blogy/vladimir-kucera.php?itemid=28661,blog,260,2017-01-12T00:36:20.910653+00:00
28654,Olga Lomová: Občanská práva v ČLR v době výročí Charty 77,2017-01-10T07:56:00+01:00,"<b><i>Generální tajemník ÚV KS Číny Si Ťin-pching už zase volá do boje proti korupci. Hlavní problém současné Číny ale spočívá přesně v tom, na co u nás před čtyřiceti lety upozorňovala Charta 77.</i></b>",Olga Lomová,http://blog.aktualne.cz/blogy/olga-lomova.php?itemid=28654,http://img.aktualne.centrum.cz/594/8/5940827-blog-olga-lomova.jpg,http://blog.aktualne.cz/blogy/olga-lomova.php?itemid=28654,blog,17,2017-01-12T00:36:20.910653+00:00
28658,"Vít Klíma: CIA a FBI o ruských aktivitách nevěděly, nebo nechtěly vědět?",2017-01-09T22:35:59+01:00,"Na výzvědné a bezpečnostní agentury USA se dnes valí ze všech stran kritika za to, že nezabránily Rusům v ovlivňování prezidentských voleb. Deník The Guardian uvádí: „Pokud vám to nestačí, uvažte skutečnost, že CIA kdysi vyvolávala strach po celém světě. Dnes je už tak ubohá a slabá, že nedokáže zamezit otevřenému spiknutí Rusů, jehož cílem je zmanipulovat americké volby. FBI kdysi šikanovala skutečné i imaginární komunisty. V roce 2016 ředitel&hellip;",Vít Klíma,http://blog.aktualne.cz/blogy/vit-klima.php?itemid=28658,http://img.aktualne.centrum.cz/594/15/5941593-blog-vit-klima.jpg,http://blog.aktualne.cz/blogy/vit-klima.php?itemid=28658,blog,99,2017-01-12T00:36:20.910653+00:00
28657,Jiří Paroubek: Vidle zpravodajských služeb do Trumpovy politiky,2017-01-09T17:50:56+01:00,"Úsilí amerických zpravodajských služeb (je jich prý dokonce 16) „prokázat“ za každou cenu, že ruský prezident Putin nařídil hackerský zásah do průběhu americké volební kampaně ve prospěch D.Trumpa, je stále silnější.",Jiří Paroubek,http://blog.aktualne.cz/blogy/jiri-paroubek.php?itemid=28657,http://img.aktualne.centrum.cz/593/91/5939120-blog-jiri-paroubek.jpg,http://blog.aktualne.cz/blogy/jiri-paroubek.php?itemid=28657,blog,40,2017-01-12T00:36:20.910653+00:00
28656,"Ivan Štern: Stát, nedržící se vlastních zákonů, pracuje na svém zániku",2017-01-09T15:30:32+01:00,"Když už toho pronásledování a špiclování bylo přes míru, když zjistil, že má nasazeny štěnice jak do obývacího pokoje, tak i do ložnice, jak se s tím svěřil v jedné své písni, připsal ještě další píseň. Posměšnou. Radil v ní nejvyššímu východoněmeckému estébákovi, pokud chtějí palčivý problém Biermann smést s konečnou platností se stolu, ať ho vyznamenají a chválí a chválí a chválí…",Ivan Štern,http://blog.aktualne.cz/blogy/ivan-stern.php?itemid=28656,http://img.aktualne.centrum.cz/630/73/6307369-blog-ivan-stern.jpg,http://blog.aktualne.cz/blogy/ivan-stern.php?itemid=28656,blog,24,2017-01-12T00:36:20.910653+00:00
28655,Džamila Stehlíková: Zeman a Chovanec občanům: ozbrojte se a střílejte teroristy sami,2017-01-09T13:57:41+01:00,"<b>Ministr vnitra chce změnou Ústavy usnadnit cestu útočníkům. Bezpečnost občanů tím sníží, nikoliv naopak. </b>",Džamila Stehlíková,http://blog.aktualne.cz/blogy/dzamila-stehlikova.php?itemid=28655,http://img.aktualne.centrum.cz/593/79/5937975-blog-dzamila-stehlikova.jpg,http://blog.aktualne.cz/blogy/dzamila-stehlikova.php?itemid=28655,blog,334,2017-01-12T00:36:20.910653+00:00
28653,Miroslav Žák: Nový rok a my,2017-01-08T10:22:58+01:00,"Každý rok se na jeho konci před začátkem toho příštího zamýšlíme, jaký asi bude rok následující. Tím spíše na konci roku 2016, kdy se zdá, že tak, jako v první třetině dvacátého století se začínají hlásit o slovo podivné existence, kterým není zatěžko k prosazení svých politických cílů vědomě využívat těch nejpodlejších lží. Dobrým příkladem mohou být hlavní zastánci a propagátoři britského brexitu, kteří se jen několik dní po svém&hellip;",Miroslav Žák,http://blog.aktualne.cz/blogy/miroslav-zak.php?itemid=28653,http://img.aktualne.centrum.cz/594/7/5940767-blog-miroslav-zak.jpg,http://blog.aktualne.cz/blogy/miroslav-zak.php?itemid=28653,blog,171,2017-01-12T00:36:20.910653+00:00
28652,Zdeněk Koudelka: Debakl Bradáčové a nejen její,2017-01-07T22:28:15+01:00,"Usnesení Vrchního soudu v Praze ze 17. 10. 2016 v kauze David Rath není samo o sobě debaklem vrchní státní zástupkyně v Praze Lenky Bradáčové. Ten se stal dříve. Ale v plné nahotě se ukázal. Za debakl Bradáčové považuji, že přistoupila na to, že nepříslušné Krajské státní zastupitelství v Ústí nad Labem zprvu dozorovalo kauzu Rath. Tato skutečnost jí pomohla v kariéře a k mediálnímu krytí obsazení funkce vrchní státní zástupkyně v Praze. Na&hellip;",Zdeněk Koudelka,http://blog.aktualne.cz/blogy/zdenk-koudelka.php?itemid=28652,http://img.aktualne.centrum.cz/618/25/6182573-blog-zdenek-koudelka.jpg,http://blog.aktualne.cz/blogy/zdenk-koudelka.php?itemid=28652,blog,58,2017-01-12T00:36:20.910653+00:00
28651,"Radkin Honzák: Nemusíme do Bruselu, máme lepší doma",2017-01-07T21:03:07+01:00,"Koho? Chitré úředníky, kteří vymýšlí chitré vyhlášky, nařízení a zákony. Chitré ministry, kteří najednou nevědí, co dělali tři roky v čele rezortu. Chytré lháře, podvodníky, demagogy, co rozsévají nedůvěru a blbou náladu. A chitré spouobčany, kteří jim na to skočí. A dost udavačů, kteří nás přesvědčí, že charakter je to, co lomcuje naší společností. Tolik jich v Bruselu jistě nemají.",Radkin Honzák,http://blog.aktualne.cz/blogy/radkin-honzak.php?itemid=28651,http://img.aktualne.centrum.cz/618/57/6185769-blog-radkin-honzak.jpg,http://blog.aktualne.cz/blogy/radkin-honzak.php?itemid=28651,blog,474,2017-01-12T00:36:20.910653+00:00
28650,Ivan Bartoš: Kdo se bojí ministra Babiše? Práskačský web EET je vypnut - karavana jede dál...,2017-01-07T12:03:17+01:00,Hlavní zprávou dne bylo ve čtvrtek 5. ledna 2017 vypnutí Babišova udavačského EET webu. Média dala ministrovi překvapivě absolutní prostor.,Ivan Bartoš,http://blog.aktualne.cz/blogy/ivan-bartos.php?itemid=28650,http://img.aktualne.centrum.cz/630/72/6307219-blog-ivan-bartos.jpg,http://blog.aktualne.cz/blogy/ivan-bartos.php?itemid=28650,blog,134,2017-01-12T00:36:20.910653+00:00
28649,Karel Holomek: Rácio v české politice nehraje roli – zatím.,2017-01-06T14:25:23+01:00,"Když člověk sleduje namlouvání představitelů sociální demokracie a předsedy strany ANO Babiše (povšimněte si prosím, že v tomto případě nemluvím o představitelích strany ANO, což samo o sobě je symptomatické) s prezidentem Zemanem, nestačí se divit.",Karel Holomek,http://blog.aktualne.cz/blogy/karel-holomek.php?itemid=28649,http://img.aktualne.centrum.cz/593/92/5939295-blog-karel-holomek.jpg,http://blog.aktualne.cz/blogy/karel-holomek.php?itemid=28649,blog,63,2017-01-12T00:36:20.910653+00:00
28648,Pohled zblízka: Sisyfovo centrum na Ministerstvu vnitra,2017-01-06T12:56:54+01:00,"Mediální bouře kolem vzniku nového Centra proti terorismu a hybridním hrozbám bude jeho práci nevyhnutelně škodit. Přitom se jí dalo snadno vyhnout. Nezbývá než doufat, že se zbytek státní správy z krizového vývoje poučí.",Pohled zblízka,http://blog.aktualne.cz/blogy/pohled-zblizka.php?itemid=28648,http://img.aktualne.centrum.cz/622/5/6220509-blog-pohled-zblizka.jpg,http://blog.aktualne.cz/blogy/pohled-zblizka.php?itemid=28648,blog,165,2017-01-12T00:36:20.910653+00:00
